Date,Open,High,Low,Close,Volume
2022-02-09 19:56:00, 0.8955, 0.8964, 0.8954, 0.8958,849812.4
2022-02-09 19:57:00, 0.8959, 0.8982, 0.8941, 0.8980,1905763.8
2022-02-09 19:58:00, 0.8979, 0.8983, 0.8967, 0.8976,1755122.8
2022-02-09 19:59:00, 0.8976, 0.9012, 0.8975, 0.8996,4609284.5
2022-02-09 20:00:00, 0.8996, 0.9107, 0.8995, 0.9069,16910272.7
2022-02-09 20:01:00, 0.9069, 0.9136, 0.9053, 0.9067,12143346.6
2022-02-09 20:02:00, 0.9066, 0.9070, 0.9031, 0.9061,4431429.5
2022-02-09 20:03:00, 0.9061, 0.9110, 0.9044, 0.9106,6095059.9
2022-02-09 20:04:00, 0.9107, 0.9173, 0.9080, 0.9086,13941046.1
2022-02-09 20:05:00, 0.9086, 0.9111, 0.9055, 0.9060,3879488.2
2022-02-09 20:06:00, 0.9062, 0.9106, 0.9061, 0.9079,3192411.7
2022-02-09 20:07:00, 0.9078, 0.9096, 0.9032, 0.9094,4191626.5
2022-02-09 20:08:00, 0.9093, 0.9116, 0.9084, 0.9096,2814292.5
2022-02-09 20:09:00, 0.9095, 0.9098, 0.9041, 0.9067,2965278.3
2022-02-09 20:10:00, 0.9068, 0.9068, 0.8996, 0.9033,6157167.5
2022-02-09 20:11:00, 0.9033, 0.9044, 0.8966, 0.8996,3602305.0
2022-02-09 20:12:00, 0.8995, 0.8998, 0.8957, 0.8990,4293244.4
2022-02-09 20:13:00, 0.8989, 0.9012, 0.8978, 0.8983,2580309.0
2022-02-09 20:14:00, 0.8982, 0.9005, 0.8968, 0.8989,2424640.7
2022-02-09 20:15:00, 0.8989, 0.8989, 0.8948, 0.8956,3464942.9
2022-02-09 20:16:00, 0.8956, 0.8987, 0.8941, 0.8972,2424994.9
2022-02-09 20:17:00, 0.8972, 0.8980, 0.8963, 0.8973,893217.8
2022-02-09 20:18:00, 0.8973, 0.8999, 0.8971, 0.8994,1402127.0
2022-02-09 20:19:00, 0.8994, 0.8994, 0.8950, 0.8967,1127766.5
2022-02-09 20:20:00, 0.8967, 0.8998, 0.8953, 0.8996,2661525.8
2022-02-09 20:21:00, 0.8995, 0.9004, 0.8977, 0.8992,1922791.2
2022-02-09 20:22:00, 0.8993, 0.8997, 0.8980, 0.8983,1126837.2
2022-02-09 20:23:00, 0.8984, 0.8996, 0.8978, 0.8978,729354.6
2022-02-09 20:24:00, 0.8977, 0.9010, 0.8974, 0.9010,1927278.3
2022-02-09 20:25:00, 0.9007, 0.9024, 0.9006, 0.9010,1926427.8
2022-02-09 20:26:00, 0.9010, 0.9016, 0.9001, 0.9005,1485107.4
2022-02-09 20:27:00, 0.9005, 0.9006, 0.8976, 0.8993,3034058.9
2022-02-09 20:28:00, 0.8994, 0.9019, 0.8981, 0.9019,1250474.6
2022-02-09 20:29:00, 0.9020, 0.9035, 0.9007, 0.9023,2549418.0
2022-02-09 20:30:00, 0.9023, 0.9023, 0.8983, 0.9004,2093338.0
2022-02-09 20:31:00, 0.9004, 0.9010, 0.8984, 0.8989,1362539.3
2022-02-09 20:32:00, 0.8991, 0.9015, 0.8988, 0.9004,1656898.1
2022-02-09 20:33:00, 0.9004, 0.9008, 0.8994, 0.9001,678268.4
2022-02-09 20:34:00, 0.9000, 0.9001, 0.8981, 0.8982,1193223.3
2022-02-09 20:35:00, 0.8982, 0.8987, 0.8958, 0.8984,1922320.1
2022-02-09 20:36:00, 0.8983, 0.9012, 0.8982, 0.9009,1334336.3
2022-02-09 20:37:00, 0.9008, 0.9038, 0.9004, 0.9015,1598118.3
2022-02-09 20:38:00, 0.9015, 0.9025, 0.9007, 0.9014,1212250.9
2022-02-09 20:39:00, 0.9013, 0.9019, 0.8989, 0.8993,995216.4
2022-02-09 20:40:00, 0.8992, 0.8996, 0.8973, 0.8991,1004059.6
2022-02-09 20:41:00, 0.8990, 0.9015, 0.8980, 0.8985,1629169.8
2022-02-09 20:42:00, 0.8985, 0.9005, 0.8983, 0.8997,384709.2
2022-02-09 20:43:00, 0.8997, 0.8999, 0.8979, 0.8981,1044836.8
2022-02-09 20:44:00, 0.8981, 0.8987, 0.8973, 0.8977,1451738.7
2022-02-09 20:45:00, 0.8977, 0.8996, 0.8970, 0.8971,1075784.4
2022-02-09 20:46:00, 0.8971, 0.8995, 0.8952, 0.8958,4677843.6
2022-02-09 20:47:00, 0.8958, 0.8968, 0.8940, 0.8956,1346990.9
2022-02-09 20:48:00, 0.8957, 0.8996, 0.8956, 0.8977,2801457.2
2022-02-09 20:49:00, 0.8977, 0.8986, 0.8965, 0.8973,730724.5
2022-02-09 20:50:00, 0.8973, 0.8973, 0.8963, 0.8970,530595.0
2022-02-09 20:51:00, 0.8970, 0.8984, 0.8965, 0.8979,459447.2
2022-02-09 20:52:00, 0.8978, 0.8979, 0.8961, 0.8963,594819.4
2022-02-09 20:53:00, 0.8963, 0.8972, 0.8932, 0.8949,1976784.2
2022-02-09 20:54:00, 0.8949, 0.8950, 0.8925, 0.8932,880870.7
2022-02-09 20:55:00, 0.8932, 0.8933, 0.8902, 0.8904,3543109.8
2022-02-09 20:56:00, 0.8904, 0.8930, 0.8900, 0.8924,1590431.4
2022-02-09 20:57:00, 0.8924, 0.8924, 0.8908, 0.8920,866707.1
2022-02-09 20:58:00, 0.8919, 0.8920, 0.8902, 0.8915,686351.9
2022-02-09 20:59:00, 0.8916, 0.8916, 0.8900, 0.8912,641459.1
2022-02-09 21:00:00, 0.8912, 0.8929, 0.8911, 0.8922,816871.8
2022-02-09 21:01:00, 0.8921, 0.8932, 0.8915, 0.8925,1199894.7
2022-02-09 21:02:00, 0.8929, 0.8929, 0.8888, 0.8893,1305233.0
2022-02-09 21:03:00, 0.8893, 0.8900, 0.8873, 0.8898,2049888.7
2022-02-09 21:04:00, 0.8899, 0.8901, 0.8880, 0.8886,1691406.9
2022-02-09 21:05:00, 0.8886, 0.8895, 0.8874, 0.8888,1092733.1
2022-02-09 21:06:00, 0.8888, 0.8902, 0.8885, 0.8896,681654.8
2022-02-09 21:07:00, 0.8896, 0.8923, 0.8890, 0.8911,1405878.1
